target_id,name,country_resident,red,green,blue
922,green,us,74,138,11
586,pale yellow,us,235,230,196
762,blue,us,138,179,215
603,green,us,13,56,44
1135,blue,gb,0,0,0
842,green,us,69,167,109
1132,blue,us,127,0,255
601,green,gb,34,54,26
1093,purple,us,112,7,165
860,lavender,us,181,132,183
687,red brown,us,117,51,53
1022,pink,us,226,110,158
687,brick,us,117,51,53
569,teal,us,101,128,127
750,yellow,us,173,181,97
1022,pink,gb,226,110,158
739,mauve,us,163,105,127
965,pink,us,227,149,208
838,green,us,145,156,37
710,plum,us,114,51,74
558,forest green,us,57,76,69
914,red,us,194,88,110
567,sage,us,114,126,106
1054,dark pink,au,213,65,122
854,aqua,us,94,154,203
917,salmon,gb,197,89,74
939,orange,us,253,146,108
982,royal blue,au,36,36,122
1123,fuschia,us,207,33,215
670,light pink,us,206,197,225
1001,dark pink,gb,168,50,111
1096,red,us,243,7,60
965,pink,us,227,149,208
1111,purple,us,139,44,204
974,kelly green,us,181,249,111
1108,royal blue,au,47,0,160
729,blue,gb,33,134,150
729,ocean blue,au,33,134,150
962,pink,us,189,161,237
654,baby pink,gb,235,191,191
889,lavendar,us,212,191,255
853,aquamarine,us,71,157,201
938,peach,us,255,144,124
535,dark gray,us,49,49,49
1122,purple,gb,186,58,231
927,purple,gb,124,112,186
1047,purple,us,125,106,212
658,beige,gb,223,199,149
1084,purple,us,194,115,233
895,indigo,us,24,14,84
975,light green,us,152,253,137
1093,neon purple,gb,112,7,165
626,blue,us,48,105,116
603,green,us,13,56,44
791,blue,us,37,43,100
713,red,us,171,105,95
698,forest green,us,7,83,50
903,red,us,137,33,16
851,cobalt,gb,0,163,193
645,light blue,gb,98,159,158
642,green,au,114,159,127
808,brown,gb,133,87,0
583,grey,us,188,171,174
1130,bright blue,gb,61,0,225
896,plum,us,40,7,78
992,burnt orange,gb,174,56,17
725,green,us,53,137,110
556,dark olive green,us,77,72,52
535,dark grey,gb,49,49,49
956,blue,gb,0,190,240
1039,purple,gb,133,0,124
932,pink,au,179,93,146
960,periwinkle,us,151,171,249
613,brown,us,74,37,54
895,navy,us,24,14,84
1060,candy pink,gb,255,131,206
923,green,us,42,141,47
546,black,us,33,28,8
547,forest green,gb,22,31,20
535,gray,us,49,49,49
1070,purple,us,129,63,183
605,forest green,gb,0,56,59
557,forest green,us,64,75,60
553,plum,us,43,22,33
916,pink,us,197,88,87
631,purple,us,114,88,116
959,sky blue,us,120,178,249
701,dark teal,gb,0,79,110
980,blue,us,23,255,222
980,turquoise,gb,23,255,222
828,apricot,us,212,125,110
643,green,us,105,160,138
1029,green,us,110,227,99
1097,red,us,239,31,29
553,dark purple,us,43,22,33
1057,purple,us,214,148,253
649,pale blue,gb,142,147,175
721,green,us,110,131,56
802,wine,us,157,69,70
764,navy blue,au,163,173,216
1130,blue,gb,61,0,225
858,light purple,gb,160,138,197
889,lavender,au,212,191,255
874,lime green,nz,166,217,117
935,salmon,us,251,143,159
759,turquoise,au,98,188,201
606,navy,gb,0,55,66
663,light green,us,157,214,189
612,brown,us,70,39,60
568,green,gb,104,128,118
1127,lilac,gb,149,3,220
642,green,us,114,159,127
630,grape,us,104,91,122
1052,pink,gb,199,74,156
593,off white,us,241,225,228
904,blue,us,0,73,141
