target_id,name,country_resident,red,green,blue
976,green,AU,119,255,166
922,green,US,74,138,11
586,pale yellow,US,235,230,196
762,blue,US,138,179,215
603,green,US,13,56,44
1135,blue,GB,0,0,0
842,green,US,69,167,109
1132,blue,US,127,0,255
601,green,GB,34,54,26
1093,purple,US,112,7,165
860,lavender,US,181,132,183
687,red brown,US,117,51,53
1022,pink,US,226,110,158
687,brick,US,117,51,53
569,teal,US,101,128,127
750,yellow,US,173,181,97
1022,pink,GB,226,110,158
739,mauve,US,163,105,127
965,pink,US,227,149,208
838,green,US,145,156,37
710,plum,US,114,51,74
558,forest green,US,57,76,69
914,red,US,194,88,110
567,sage,US,114,126,106
1054,dark pink,AU,213,65,122
854,aqua,US,94,154,203
917,salmon,GB,197,89,74
939,orange,US,253,146,108
982,royal blue,AU,36,36,122
1123,fuschia,US,207,33,215
670,light pink,US,206,197,225
1001,dark pink,GB,168,50,111
1096,red,US,243,7,60
965,pink,US,227,149,208
1111,purple,US,139,44,204
974,kelly green,US,181,249,111
1108,royal blue,AU,47,0,160
729,blue,GB,33,134,150
729,ocean blue,AU,33,134,150
962,pink,US,189,161,237
654,baby pink,GB,235,191,191
889,lavendar,US,212,191,255
853,aquamarine,US,71,157,201
938,peach,US,255,144,124
535,dark gray,US,49,49,49
1122,purple,GB,186,58,231
927,purple,GB,124,112,186
1047,purple,US,125,106,212
658,beige,GB,223,199,149
1084,purple,US,194,115,233
895,indigo,US,24,14,84
975,light green,US,152,253,137
1093,neon purple,GB,112,7,165
626,blue,US,48,105,116
603,green,US,13,56,44
791,blue,US,37,43,100
713,red,US,171,105,95
698,forest green,US,7,83,50
903,red,US,137,33,16
851,cobalt,GB,0,163,193
645,light blue,GB,98,159,158
642,green,AU,114,159,127
808,brown,GB,133,87,0
583,grey,US,188,171,174
1130,bright blue,GB,61,0,225
896,plum,US,40,7,78
992,burnt orange,GB,174,56,17
725,green,US,53,137,110
556,dark olive green,US,77,72,52
535,dark grey,GB,49,49,49
956,blue,GB,0,190,240
1039,purple,GB,133,0,124
932,pink,AU,179,93,146
960,periwinkle,US,151,171,249
613,brown,US,74,37,54
895,navy,US,24,14,84
1060,candy pink,GB,255,131,206
923,green,US,42,141,47
546,black,US,33,28,8
